model,Recall@5,Recall@10,MRR@10,nDCG@10
BAAI/bge-base-en-v1.5,0.05790245408242013,0.11194388049226753,0.26736285157337786,0.1176449416648858
sentence-transformers/all-mpnet-base-v2,0.07315822578980474,0.11311037889985255,0.25808270676691725,0.11103271625332661
sentence-transformers/all-MiniLM-L6-v2,0.06020638796530138,0.09859441319543184,0.268609022556391,0.10388814808475849
